HUGO_SYMBOL	Entrez_Gene_Id	Bill_Normal
A1BG	00000	14.56
A1CF	00000	27.05
A2M	00000	1059.11
A2ML1	00000	0.75
A3GALT2	00000	0
A4GALT	00000	1427.22
A4GNT	00000	2.23
AAAS	00000	836.53
AACS	00000	466.88
AADAC	00000	0
AADACL2	00000	0
AADACL4	00000	0
AADAT	00000	46.18
AAED1	00000	143.01
AAGAB	00000	688.78
AAK1	00000	107.38
AAMDC	00000	1378.57
AAMP	00000	2004.85
AANAT	00000	4.06
AAR2	00000	476.71
AARD	00000	2.16
AARS	00000	1477.58
AARS2	00000	201.25
AARSD1	00000	1388.16
AASDH	00000	111.99
AASDHPPT	00000	669.92
AASS	00000	170.25
AATF	00000	1030.12
AATK	00000	63
ABAT	00000	1096.5
ABCA1	00000	148.09
ABCA10	00000	6.41
ABCA12	00000	14.45
ABCA13	00000	0
ABCA2	00000	738.29
ABCA3	00000	351.14
ABCA4	00000	0
ABCA5	00000	221.86
ABCA6	00000	50.63
ABCA7	00000	138.1
ABCA8	00000	13.12
ABCA9	00000	3.72
ABCB1	00000	5633.22
ABCB10	00000	191.67
ABCB11	00000	0.37
ABCB4	00000	12.09
ABCB5	00000	0.37
ABCB6	00000	318.57
ABCB7	00000	400.71
ABCB8	00000	785.88
ABCB9	00000	42.41
ABCC1	00000	204.07
ABCC10	00000	281.09
ABCC11	00000	10
ABCC12	00000	0
ABCC2	00000	108.9
ABCC3	00000	728.11
ABCC4	00000	1662.49
ABCC5	00000	73.03
ABCC6	00000	915.51
ABCC8	00000	0
ABCC9	00000	6.89
ABCD1	00000	150.17
ABCD2	00000	0.36
ABCD3	00000	1388.16
ABCD4	00000	1561.89
ABCE1	00000	460.44
ABCF1	00000	878.17
ABCF2	00000	813.63
ABCF3	00000	1001.93
ABCG1	00000	220.32
ABCG2	00000	35.5
ABCG4	00000	5.11
ABCG5	00000	23.42
ABCG8	00000	70.51
ABHD1	00000	43.94
ABHD10	00000	947.83
ABHD11	00000	2835.7
ABHD12	00000	954.43
ABHD12B	00000	2.2
ABHD13	00000	95.34
ABHD14A	00000	1037.29
ABHD14A-ACY1	00000	31.22
ABHD14B	00000	4123.49
ABHD15	00000	470.14
ABHD16A	00000	854.13
ABHD16B	00000	163.28
ABHD17A	00000	848.22
ABHD17B	00000	189.02
ABHD17C	00000	176.29
ABHD2	00000	285.03
ABHD3	00000	241.19
ABHD4	00000	435.55
ABHD5	00000	255
ABHD6	00000	1540.37
ABHD8	00000	239.52
ABI1	00000	616.37
ABI2	00000	540.19
ABI3	00000	43.63
ABI3BP	00000	995
ABL1	00000	669.92
ABL2	00000	76.17
ABLIM1	00000	1073.91
ABLIM2	00000	90.14
ABLIM3	00000	22.1
ABR	00000	2855.44
ABRA	00000	0
ABRACL	00000	1936.53
ABT1	00000	305.55
ABTB1	00000	289.02
ABTB2	00000	269.6
ACAA1	00000	7180.15
ACAA2	00000	12676.65
ACACA	00000	376.41
ACACB	00000	325.29
ACAD10	00000	1159.07
ACAD11	00000	1295.13
ACAD8	00000	1051.79
ACAD9	00000	928.3
ACADL	00000	403.5
ACADM	00000	5006.93
ACADS	00000	2224.63
ACADSB	00000	466.88
ACADVL	00000	22072.07
ACAN	00000	8.19
ACAP1	00000	99.43
ACAP2	00000	117.6
ACAP3	00000	457.25
ACAT1	00000	15607.02
ACAT2	00000	406.31
ACBD3	00000	379.04
ACBD4	00000	1216.75
ACBD5	00000	723.08
ACBD6	00000	567.1
ACBD7	00000	2.86
ACCS	00000	244.57
ACD	00000	246.28
ACE	00000	674.59
ACE2	00000	4123.49
ACER1	00000	0
ACER2	00000	29.7
ACER3	00000	46.84
ACHE	00000	176.29
ACIN1	00000	1135.2
ACKR2	00000	6.41
ACKR3	00000	299.25
ACKR4	00000	134.3
ACLY	00000	2855.44
ACMSD	00000	4066.71
ACN9	00000	928.3
ACO1	00000	915.51
ACO2	00000	7857.29
ACOT1	00000	753.83
ACOT11	00000	595.34
ACOT12	00000	0
ACOT13	00000	1331.57
ACOT2	00000	3349.13
ACOT4	00000	361.04
ACOT6	00000	46.84
ACOT7	00000	348.71
ACOT8	00000	567.1
ACOT9	00000	521.76
ACOX1	00000	878.17
ACOX2	00000	403.5
ACOX3	00000	334.46
ACOXL	00000	3.26
ACP1	00000	2303.12
ACP2	00000	1015.93
ACP5	00000	2682.69
ACP6	00000	543.96
ACPL2	00000	126.12
ACPP	00000	5.32
ACPT	00000	0
ACR	00000	37.05
ACRBP	00000	78.34
ACRC	00000	10.55
ACRV1	00000	0.38
ACSBG1	00000	3.35
ACSBG2	00000	11.21
ACSF2	00000	1277.29
ACSF3	00000	902.89
ACSL1	00000	3349.13
ACSL3	00000	444.72
ACSL4	00000	176.29
ACSL5	00000	32.13
ACSL6	00000	14.24
ACSM1	00000	26.86
ACSM2A	00000	11112.3
ACSM2B	00000	7230.1
ACSM3	00000	1191.69
ACSM5	00000	1250.98
ACSS1	00000	483.38
ACSS2	00000	3515.68
ACSS3	00000	346.29
ACTA1	00000	1.58
ACTA2	00000	1208.34
ACTB	00000	76861.91
ACTBL2	00000	0
ACTC1	00000	0
ACTG1	00000	83528.61
ACTG2	00000	29.91
ACTL10	00000	14.24
ACTL6A	00000	435.55
ACTL6B	00000	0
ACTL7A	00000	0
ACTL7B	00000	0
ACTL8	00000	0
ACTN1	00000	825
ACTN2	00000	1.87
ACTN4	00000	8598.28
ACTR10	00000	1119.56
ACTR1A	00000	1277.29
ACTR1B	00000	1225.22
ACTR2	00000	1268.46
ACTR3	00000	2209.26
ACTR3B	00000	190.34
ACTR3C	00000	161.02
ACTR5	00000	79.45
ACTR6	00000	490.14
ACTR8	00000	460.44
ACTRT2	00000	0
ACTRT3	00000	20.86
ACVR1	00000	1030.12
ACVR1B	00000	287.01
ACVR1C	00000	5.41
ACVR2A	00000	117.6
ACVR2B	00000	56.28
ACVRL1	00000	58.3
ACY1	00000	9876.98
ACY3	00000	1457.23
ACYP1	00000	500.46
ACYP2	00000	277.2
ADA	00000	47.5
ADAD1	00000	0
ADAD2	00000	0.39
ADAL	00000	301.33
ADAM10	00000	791.35
ADAM11	00000	3
ADAM12	00000	3.35
ADAM15	00000	503.95
ADAM17	00000	131.51
ADAM18	00000	0
ADAM19	00000	8.85
ADAM2	00000	0
ADAM20	00000	0.74
ADAM21	00000	2.53
ADAM22	00000	51.71
ADAM23	00000	0
ADAM28	00000	121.79
ADAM29	00000	0
ADAM32	00000	3.69
ADAM33	00000	2.32
ADAM7	00000	1.46
ADAM8	00000	48.52
ADAM9	00000	1447.15
ADAMDEC1	00000	1.48
ADAMTS1	00000	1487.87
ADAMTS10	00000	24.46
ADAMTS12	00000	1.13
ADAMTS13	00000	131.51
ADAMTS14	00000	8.13
ADAMTS15	00000	265.87
ADAMTS16	00000	123.5
ADAMTS17	00000	8.71
ADAMTS18	00000	0
ADAMTS19	00000	0
ADAMTS2	00000	126.12
ADAMTS20	00000	0
ADAMTS3	00000	16.88
ADAMTS4	00000	81.14
ADAMTS5	00000	4.39
ADAMTS6	00000	0.38
ADAMTS7	00000	19.11
ADAMTS8	00000	10.08
ADAMTS9	00000	785.88
ADAMTSL1	00000	6.94
ADAMTSL2	00000	115.16
ADAMTSL3	00000	55.89
ADAMTSL4	00000	189.02
ADAMTSL4-AS1	00000	2.25
ADAMTSL5	00000	4.13
ADAP1	00000	567.1
ADAP2	00000	180.02
ADAR	00000	1081.39
ADARB1	00000	53.57
ADARB2	00000	6.57
ADAT1	00000	642.59
ADAT2	00000	36.01
ADAT3	00000	65.72
ADC	00000	187.71
ADCK1	00000	229.72
ADCK2	00000	743.43
ADCK3	00000	848.22
ADCK4	00000	728.11
ADCK5	00000	103.69
ADCY1	00000	122.64
ADCY10	00000	7
ADCY2	00000	135.24
ADCY3	00000	70.01
ADCY4	00000	15.68
ADCY5	00000	176.29
ADCY6	00000	373.81
ADCY7	00000	64.8
ADCY8	00000	0
ADCY9	00000	555.41
ADCYAP1	00000	0
ADCYAP1R1	00000	0
ADD1	00000	3690.52
ADD2	00000	2.92
ADD3	00000	493.56
ADGB	00000	0
ADH1A	00000	0
ADH1B	00000	86.43
ADH4	00000	0
ADH5	00000	4181.07
ADH6	00000	497
ADH7	00000	0
ADHFE1	00000	301.33
ADI1	00000	3018.3
ADIG	00000	4.66
ADIPOQ	00000	7.34
ADIPOR1	00000	1709.26
ADIPOR2	00000	540.19
ADIRF	00000	5006.93
ADK	00000	872.1
ADM	00000	1697.45
ADM2	00000	435.55
ADM5	00000	6.78
ADNP	00000	366.09
ADNP2	00000	204.07
ADO	00000	262.2
ADORA1	00000	82.29
ADORA2A	00000	47.5
ADORA2B	00000	46.18
ADORA3	00000	50.63
ADPGK	00000	511
ADPRH	00000	47.84
ADPRHL1	00000	7.63
ADPRHL2	00000	733.19
ADPRM	00000	231.32
ADRA1A	00000	38.4
ADRA1B	00000	27.44
ADRA1D	00000	0
ADRA2A	00000	9.48
ADRA2B	00000	6.67
ADRA2C	00000	28.24
ADRB1	00000	1.08
ADRB2	00000	154.42
ADRB3	00000	0
ADRBK1	00000	486.75
ADRBK2	00000	41.81
ADRM1	00000	2367.9
ADSL	00000	1151.06
ADSS	00000	420.68
ADSSL1	00000	348.71
ADTRP	00000	4.7
AEBP1	00000	373.81
AEBP2	00000	381.68
AEN	00000	493.56
AES	00000	7382.04
AFAP1	00000	123.5
AFAP1L1	00000	31.9
AFAP1L2	00000	9.85
AFF1	00000	679.29
AFF2	00000	12.64
AFF3	00000	15.68
AFF4	00000	450.94
AFG3L2	00000	3168.41
AFM	00000	2.86
AFMID	00000	2335.28
AFP	00000	16.15
AFTPH	00000	1059.11
AGA	00000	567.1
AGAP1	00000	291.04
AGAP10	00000	36.01
AGAP2	00000	5.19
AGAP2-AS1	00000	25.17
AGAP3	00000	866.07
AGAP4	00000	135.24
AGAP5	00000	40.64
AGAP6	00000	101.54
AGAP7	00000	1.13
AGAP8	00000	45.21
AGAP9	00000	45.21
AGBL1	00000	0
AGBL2	00000	88.26
AGBL3	00000	159.9
AGBL4	00000	3.2
AGBL5	00000	954.43
AGER	00000	24.46
AGFG1	00000	981.29
AGFG2	00000	234.57
AGGF1	00000	307.69
AGK	00000	723.08
AGL	00000	248
AGMAT	00000	1487.87
AGMO	00000	14.03
AGO1	00000	151.22
AGO2	00000	33.54
AGO3	00000	102.25
AGO4	00000	86.43
AGPAT1	00000	2119.22
AGPAT2	00000	1447.15
AGPAT3	00000	928.3
AGPAT4	00000	90.14
AGPAT5	00000	201.25
AGPAT6	00000	2240.11
AGPAT9	00000	320.8
AGPS	00000	218.79
AGR2	00000	0
AGR3	00000	12.18
AGRN	00000	2384.37
AGRP	00000	0
AGT	00000	1819.35
AGTPBP1	00000	91.41
AGTR1	00000	7.4
AGTR2	00000	0
AGTRAP	00000	2148.82
AGXT	00000	61.25
AGXT2	00000	3039.3
AHCTF1	00000	209.84
AHCY	00000	5006.93
AHCYL1	00000	1883.54
AHCYL2	00000	334.46
AHDC1	00000	236.21
AHI1	00000	92.05
AHNAK	00000	1417.35
AHNAK2	00000	1963.57
AHR	00000	221.86
AHRR	00000	5.15
AHSA1	00000	1883.54
AHSA2	00000	503.95
AHSG	00000	0
AHSP	00000	68.07
AICDA	00000	5.77
AIDA	00000	607.87
AIF1	00000	373.81
AIF1L	00000	4450.27
AIFM1	00000	5292.48
AIFM2	00000	180.02
AIFM3	00000	88.26
AIG1	00000	3257.52
AIM1	00000	194.36
AIM1L	00000	14.35
AIM2	00000	2.2
AIMP1	00000	1081.39
AIMP2	00000	1427.22
AIP	00000	1277.29
AIPL1	00000	0.36
AIRE	00000	23.76
AJAP1	00000	133.36
AJUBA	00000	915.51
AK1	00000	2739.08
AK2	00000	5913.33
AK3	00000	1498.22
AK4	00000	2303.12
AK5	00000	19.11
AK7	00000	55.49
AK8	00000	153.34
AK9	00000	89.51
AKAP1	00000	1340.84
AKAP10	00000	392.44
AKAP11	00000	185.11
AKAP12	00000	1378.57
AKAP13	00000	684.02
AKAP14	00000	0
AKAP17A	00000	92.05
AKAP2	00000	187.71
AKAP3	00000	63.89
AKAP4	00000	0
AKAP5	00000	55.1
AKAP6	00000	77.79
AKAP7	00000	384.34
AKAP8	00000	256.78
AKAP8L	00000	866.07
AKAP9	00000	866.07
AKIP1	00000	551.56
AKIRIN1	00000	629.35
AKIRIN2	00000	587.13
AKNA	00000	59.97
AKNAD1	00000	0
AKR1A1	00000	9088.59
AKR1B1	00000	1081.39
AKR1B10	00000	7.11
AKR1B15	00000	0.38
AKR1C1	00000	5517.27
AKR1C2	00000	395.18
AKR1C3	00000	2319.15
AKR1C4	00000	2.16
AKR1CL1	00000	2.25
AKR1D1	00000	0.73
AKR1E2	00000	30.56
AKR7A2	00000	4512.4
AKR7A3	00000	6699.25
AKT1	00000	1259.69
AKT1S1	00000	743.43
AKT2	00000	3190.46
AKT3	00000	126.12
AKTIP	00000	483.38
ALAD	00000	1151.06
ALAS1	00000	1662.49
ALAS2	00000	277.2
ALB	00000	30.34
ALCAM	00000	454.09
ALDH16A1	00000	567.1
ALDH18A1	00000	743.43
ALDH1A1	00000	19348.38
ALDH1A2	00000	23.42
ALDH1A3	00000	638.15
ALDH1B1	00000	1832.01
ALDH1L1	00000	2417.67
ALDH1L2	00000	2.97
ALDH2	00000	10084.54
ALDH3A1	00000	113.56
ALDH3A2	00000	2682.69
ALDH3B1	00000	521.76
ALDH3B2	00000	0.72
ALDH4A1	00000	4358.66
ALDH5A1	00000	587.13
ALDH6A1	00000	3257.52
ALDH7A1	00000	2178.83
ALDH8A1	00000	426.57
ALDH9A1	00000	1437.15
ALDOA	00000	49666
ALDOB	00000	62.12
ALDOC	00000	43.94
ALG1	00000	587.13
ALG10	00000	43.02
ALG10B	00000	35.76
ALG11	00000	129.69
ALG12	00000	525.39
ALG13	00000	536.45
ALG14	00000	205.5
ALG1L	00000	1.45
ALG2	00000	748.61
ALG3	00000	624.99
ALG5	00000	947.83
ALG6	00000	131.51
ALG8	00000	723.08
ALG9	00000	351.14
ALK	00000	0
ALKBH1	00000	234.57
ALKBH2	00000	96.68
ALKBH3	00000	361.04
ALKBH4	00000	307.69
ALKBH5	00000	1697.45
ALKBH6	00000	275.28
ALKBH7	00000	2720.15
ALKBH8	00000	44.25
ALLC	00000	3.03
ALMS1	00000	171.45
ALOX12	00000	8.85
ALOX12B	00000	16.15
ALOX15	00000	0.73
ALOX15B	00000	4.46
ALOX5	00000	457.25
ALOX5AP	00000	234.57
ALOXE3	00000	1.46
ALPI	00000	8.58
ALPK1	00000	156.59
ALPK2	00000	180.02
ALPK3	00000	283.05
ALPL	00000	2119.22
ALPP	00000	0
ALPPL2	00000	0
ALS2	00000	165.57
ALS2CL	00000	190.34
ALS2CR11	00000	0.37
ALS2CR12	00000	12.45
ALX1	00000	0
ALX3	00000	0
ALX4	00000	0
ALYREF	00000	1037.29
AMACR	00000	6935.54
AMBP	00000	22.75
AMBRA1	00000	283.05
AMD1	00000	813.63
AMDHD1	00000	65.72
AMDHD2	00000	759.08
AMELX	00000	0
AMELY	00000	0
AMER1	00000	46.18
AMER2	00000	0
AMER3	00000	0
AMFR	00000	842.36
AMH	00000	7.94
AMHR2	00000	1.11
AMICA1	00000	56.68
AMIGO1	00000	107.38
AMIGO2	00000	10.24
AMIGO3	00000	56.28
AMMECR1	00000	102.25
AMMECR1L	00000	199.85
AMN	00000	7331.05
AMN1	00000	153.34
AMOT	00000	287.01
AMOTL1	00000	133.36
AMOTL2	00000	1540.37
AMPD1	00000	0
AMPD2	00000	441.64
AMPD3	00000	90.77
AMPH	00000	3.56
AMT	00000	1119.56
AMTN	00000	0
AMY1A	00000	0
AMY1B	00000	1.48
AMY1C	00000	0
AMY2A	00000	2.73
AMY2B	00000	165.57
AMZ1	00000	4.78
AMZ2	00000	2664.15
ANAPC1	00000	164.42
ANAPC10	00000	293.07
ANAPC11	00000	5517.27
ANAPC13	00000	1617
ANAPC15	00000	733.19
ANAPC16	00000	3060.45
ANAPC2	00000	473.41
ANAPC4	00000	287.01
ANAPC5	00000	1331.57
ANAPC7	00000	665.29
ANG	00000	297.17
ANGEL1	00000	228.13
