HUGO_SYMBOL	Entrez_Gene_Id	Bill_Tumor
A1BG	00000	4.69
A1CF	00000	3.13
A2M	00000	204.89
A2ML1	00000	0.09
A3GALT2	00000	0.01
A4GALT	00000	15.9
A4GNT	00000	0.2
AAAS	00000	29.6
AACS	00000	10.52
AADAC	00000	0.02
AADACL2	00000	0
AADACL4	00000	0.23
AADAT	00000	2.61
AAED1	00000	4.16
AAGAB	00000	13.51
AAK1	00000	20.02
AAMDC	00000	32.89
AAMP	00000	65.71
AANAT	00000	0.09
AAR2	00000	14.47
AARD	00000	0.43
AARS	00000	30.72
AARS2	00000	4.2
AARSD1	00000	18.64
AASDH	00000	4.14
AASDHPPT	00000	11.49
AASS	00000	6.96
AATF	00000	18.08
AATK	00000	2.42
ABAT	00000	29.32
ABCA1	00000	3.14
ABCA10	00000	1.97
ABCA12	00000	0.02
ABCA13	00000	0.81
ABCA2	00000	24.21
ABCA3	00000	8.1
ABCA4	00000	21.42
ABCA5	00000	7.84
ABCA6	00000	3.49
ABCA7	00000	5.43
ABCA8	00000	9.81
ABCA9	00000	1.81
ABCB1	00000	24.1
ABCB10	00000	4.76
ABCB11	00000	0
ABCB4	00000	0.32
ABCB5	00000	0.03
ABCB6	00000	5.02
ABCB7	00000	6.66
ABCB8	00000	11.26
ABCB9	00000	2.77
ABCC1	00000	6.78
ABCC10	00000	6.97
ABCC11	00000	0.06
ABCC12	00000	0
ABCC2	00000	2.92
ABCC3	00000	8.12
ABCC4	00000	8.96
ABCC5	00000	16.31
ABCC6	00000	11.95
ABCC8	00000	0.57
ABCC9	00000	8.04
ABCD1	00000	4.42
ABCD2	00000	0.16
ABCD3	00000	23.44
ABCD4	00000	30.86
ABCE1	00000	10.94
ABCF1	00000	24.6
ABCF2	00000	12.76
ABCF3	00000	33.48
ABCG1	00000	9.82
ABCG2	00000	1.86
ABCG4	00000	0.34
ABCG5	00000	0.2
ABCG8	00000	0.35
ABHD1	00000	0.9
ABHD10	00000	22.28
ABHD11	00000	18.79
ABHD12	00000	31.43
ABHD12B	00000	0.19
ABHD13	00000	3.58
ABHD14A	00000	30.5
ABHD14A-ACY1	00000	1.46
ABHD14B	00000	61.28
ABHD15	00000	5.63
ABHD16A	00000	21.77
ABHD16B	00000	3.57
ABHD17A	00000	35.48
ABHD17B	00000	6.15
ABHD17C	00000	14.11
ABHD2	00000	14.51
ABHD3	00000	6.89
ABHD4	00000	23.96
ABHD5	00000	7.17
ABHD6	00000	8.31
ABHD8	00000	9.94
ABI1	00000	16.2
ABI2	00000	17.99
ABI3	00000	5.62
ABI3BP	00000	12.86
ABL1	00000	18.25
ABL2	00000	2.67
ABLIM1	00000	23.94
ABLIM2	00000	2.69
ABLIM3	00000	4.07
ABR	00000	26.03
ABRA	00000	0.08
ABRACL	00000	13.04
ABT1	00000	8.3
ABTB1	00000	24.84
ABTB2	00000	8.59
ACAA1	00000	85.93
ACAA2	00000	99.52
ACACA	00000	10.11
ACACB	00000	28.42
ACAD10	00000	16.7
ACAD11	00000	14.19
ACAD8	00000	18.91
ACAD9	00000	16.7
ACADL	00000	10.63
ACADM	00000	78.49
ACADS	00000	23.37
ACADSB	00000	24.68
ACADVL	00000	416.24
ACAN	00000	1.94
ACAP1	00000	4.53
ACAP2	00000	5.68
ACAP3	00000	15.67
ACAT1	00000	165.78
ACAT2	00000	7.76
ACBD3	00000	11.99
ACBD4	00000	20.08
ACBD5	00000	20.88
ACBD6	00000	11.5
ACBD7	00000	0.23
ACCS	00000	13.3
ACD	00000	8.6
ACE	00000	10.27
ACE2	00000	8.2
ACER1	00000	0.01
ACER2	00000	1.94
ACER3	00000	3.76
ACHE	00000	2
ACIN1	00000	67.73
ACKR2	00000	1.74
ACKR3	00000	8.15
ACKR4	00000	1.59
ACLY	00000	20.87
ACMSD	00000	24.42
ACN9	00000	12.08
ACO1	00000	24.37
ACO2	00000	78.77
ACOT1	00000	4.61
ACOT11	00000	18.68
ACOT12	00000	1.6
ACOT13	00000	17.14
ACOT2	00000	21.76
ACOT4	00000	2.6
ACOT6	00000	0.77
ACOT7	00000	23.4
ACOT8	00000	16.33
ACOT9	00000	11.59
ACOX1	00000	16.04
ACOX2	00000	27.66
ACOX3	00000	5.89
ACOXL	00000	0.17
ACP1	00000	48.97
ACP2	00000	24.64
ACP5	00000	45.48
ACP6	00000	13.48
ACPL2	00000	6.86
ACPP	00000	12.54
ACPT	00000	0
ACR	00000	0.49
ACRBP	00000	1.31
ACRC	00000	0.59
ACRV1	00000	0
ACSBG1	00000	0.19
ACSBG2	00000	0.79
ACSF2	00000	72.35
ACSF3	00000	12.59
ACSL1	00000	88.79
ACSL3	00000	22.29
ACSL4	00000	19.57
ACSL5	00000	6.92
ACSL6	00000	0.83
ACSM1	00000	0.31
ACSM2A	00000	107.49
ACSM2B	00000	116.59
ACSM3	00000	39.71
ACSM5	00000	8.23
ACSS1	00000	28.92
ACSS2	00000	34.94
ACSS3	00000	12.1
ACTA1	00000	0.11
ACTA2	00000	261.88
ACTB	00000	1573.37
ACTBL2	00000	0.04
ACTC1	00000	0.71
ACTG1	00000	1055
